case_id,activity,lifecycle,resource,timestamp,amount,article,dismissal,expense,lastsent,matricola,notificationtype,paymentamount,points,totalpaymentamount,vehicleclass,activity_instance_id,.order
A1,Create Fine,complete,561,2006-07-24,350,157,NIL,NA,NA,NA,NA,NA,0,0.0,A,1,1
A1,Send Fine,complete,NA,2006-12-05,NA,NA,NA,110,NA,NA,NA,NA,NA,NA,NA,2,2
A100,Create Fine,complete,561,2006-08-02,350,157,NIL,NA,NA,NA,NA,NA,0,0.0,A,3,3
A100,Send Fine,complete,NA,2006-12-12,NA,NA,NA,110,NA,NA,NA,NA,NA,NA,NA,4,4
A100,Insert Fine Notification,complete,NA,2007-01-15,NA,NA,NA,NA,P,NA,P,NA,NA,NA,NA,5,5
A100,Add penalty,complete,NA,2007-03-16,715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6
A100,Send for Credit Collection,complete,NA,2009-03-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7
A10000,Create Fine,complete,561,2007-03-09,360,157,NIL,NA,NA,NA,NA,NA,0,0.0,A,8,8
A10000,Send Fine,complete,NA,2007-07-17,NA,NA,NA,130,NA,NA,NA,NA,NA,NA,NA,9,9
A10000,Insert Fine Notification,complete,NA,2007-08-02,NA,NA,NA,NA,P,NA,P,NA,NA,NA,NA,10,10
A10000,Add penalty,complete,NA,2007-10-01,740,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,11
A10000,Payment,complete,NA,2008-09-09,NA,NA,NA,NA,NA,NA,NA,870,NA,87.0,NA,12,12
A10001,Create Fine,complete,537,2007-03-19,360,157,NIL,NA,NA,NA,NA,NA,0,0.0,A,13,13
A10001,Send Fine,complete,NA,2007-07-17,NA,NA,NA,130,NA,NA,NA,NA,NA,NA,NA,14,14
A10001,Insert Fine Notification,complete,NA,2007-07-25,NA,NA,NA,NA,P,NA,P,NA,NA,NA,NA,15,15
A10001,Insert Date Appeal to Prefecture,complete,NA,2007-08-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,16
A10001,Add penalty,complete,NA,2007-09-23,740,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,17
A10001,Send Appeal to Prefecture,complete,NA,2007-09-24,NA,NA,#,NA,NA,NA,NA,NA,NA,NA,NA,18,18
A10004,Create Fine,complete,537,2007-03-20,360,157,NIL,NA,NA,NA,NA,NA,0,0.0,A,19,19
A10004,Send Fine,complete,NA,2007-07-17,NA,NA,NA,130,NA,NA,NA,NA,NA,NA,NA,20,20
A10004,Insert Fine Notification,complete,NA,2007-07-24,NA,NA,NA,NA,P,NA,P,NA,NA,NA,NA,21,21
A10004,Add penalty,complete,NA,2007-09-22,740,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,22
A10004,Send for Credit Collection,complete,NA,2009-03-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,23
A10005,Create Fine,complete,537,2007-03-20,360,157,NIL,NA,NA,NA,NA,NA,0,0.0,A,24,24
A10005,Payment,complete,NA,2007-03-21,NA,NA,NA,NA,NA,NA,NA,360,NA,36.0,NA,25,25
A10007,Create Fine,complete,537,2007-03-20,360,157,NIL,NA,NA,NA,NA,NA,0,0.0,A,26,26
A10007,Payment,complete,NA,2007-03-23,NA,NA,NA,NA,NA,NA,NA,360,NA,36.0,NA,27,27
A10008,Create Fine,complete,537,2007-03-20,360,157,NIL,NA,NA,NA,NA,NA,0,0.0,A,28,28
A10008,Send Fine,complete,NA,2007-07-17,NA,NA,NA,130,NA,NA,NA,NA,NA,NA,NA,29,29
A10008,Insert Fine Notification,complete,NA,2007-08-02,NA,NA,NA,NA,P,NA,P,NA,NA,NA,NA,30,30
A10008,Add penalty,complete,NA,2007-10-01,740,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,31
A10008,Send for Credit Collection,complete,NA,2009-03-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,32
A10009,Create Fine,complete,537,2007-03-20,220,7,NIL,NA,NA,NA,NA,NA,0,0.0,A,33,33
A10009,Send Fine,complete,NA,2007-07-17,NA,NA,NA,130,NA,NA,NA,NA,NA,NA,NA,34,34
A10009,Insert Fine Notification,complete,NA,2007-07-23,NA,NA,NA,NA,P,NA,P,NA,NA,NA,NA,35,35
A10009,Add penalty,complete,NA,2007-09-21,440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,36
A10009,Payment,complete,NA,2007-10-01,NA,NA,NA,NA,NA,NA,NA,350,NA,35.0,NA,37,37
A10009,Payment,complete,NA,2007-10-31,NA,NA,NA,NA,NA,NA,NA,220,NA,57.0,NA,38,38
A1001,Create Fine,complete,550,2006-08-02,210,7,NIL,NA,NA,NA,NA,NA,0,0.0,A,39,39
A1001,Send Fine,complete,NA,2006-12-12,NA,NA,NA,110,NA,NA,NA,NA,NA,NA,NA,40,40
A1001,Insert Fine Notification,complete,NA,2006-12-31,NA,NA,NA,NA,P,NA,P,NA,NA,NA,NA,41,41
A1001,Add penalty,complete,NA,2007-03-01,425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,42
A1001,Send for Credit Collection,complete,NA,2009-03-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,43
A10010,Create Fine,complete,537,2007-03-20,360,157,NIL,NA,NA,NA,NA,NA,0,0.0,A,44,44
A10010,Send Fine,complete,NA,2007-07-17,NA,NA,NA,130,NA,NA,NA,NA,NA,NA,NA,45,45
A10010,Insert Fine Notification,complete,NA,2007-07-23,NA,NA,NA,NA,P,NA,P,NA,NA,NA,NA,46,46
A10010,Add penalty,complete,NA,2007-09-21,740,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,47
A10010,Send for Credit Collection,complete,NA,2009-03-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,48
A10011,Create Fine,complete,537,2007-03-21,360,157,NIL,NA,NA,NA,NA,NA,0,0.0,A,49,49
A10011,Send Fine,complete,NA,2007-09-29,NA,NA,NA,186,NA,NA,NA,NA,NA,NA,NA,50,50
A10011,Insert Fine Notification,complete,NA,2007-10-12,NA,NA,NA,NA,P,NA,P,NA,NA,NA,NA,51,51
A10011,Add penalty,complete,NA,2007-12-11,740,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,52
