dataset;method;cls;nr_events;n_iter;metric;score
sepsis_cases_2;single_index;xgboost;-1;-1;test_prefix_generation_time;0.35188746452331543
sepsis_cases_2;single_index;xgboost;-1;0;train_prefix_generation_time;0.3608849048614502
sepsis_cases_2;single_index;xgboost;-1;0;offline_time_total;2.064338207244873
sepsis_cases_2;single_index;xgboost;-1;0;online_time_avg;0.020746582172933316
sepsis_cases_2;single_index;xgboost;-1;0;online_time_std;0.020268159014290292
sepsis_cases_2;single_index;xgboost;-1;1;train_prefix_generation_time;0.3378915786743164
sepsis_cases_2;single_index;xgboost;-1;1;offline_time_total;2.024350643157959
sepsis_cases_2;single_index;xgboost;-1;1;online_time_avg;0.0206512485188739
sepsis_cases_2;single_index;xgboost;-1;1;online_time_std;0.02024883787561615
sepsis_cases_2;single_index;xgboost;-1;2;train_prefix_generation_time;0.33489274978637695
sepsis_cases_2;single_index;xgboost;-1;2;offline_time_total;1.9483752250671387
sepsis_cases_2;single_index;xgboost;-1;2;online_time_avg;0.020487936504868957
sepsis_cases_2;single_index;xgboost;-1;2;online_time_std;0.0200774493080037
sepsis_cases_2;single_index;xgboost;-1;3;train_prefix_generation_time;0.3284454345703125
sepsis_cases_2;single_index;xgboost;-1;3;offline_time_total;1.9480586051940918
sepsis_cases_2;single_index;xgboost;-1;3;online_time_avg;0.02028947252825969
sepsis_cases_2;single_index;xgboost;-1;3;online_time_std;0.019811114693617512
sepsis_cases_2;single_index;xgboost;-1;4;train_prefix_generation_time;0.3394498825073242
sepsis_cases_2;single_index;xgboost;-1;4;offline_time_total;1.9440631866455078
sepsis_cases_2;single_index;xgboost;-1;4;online_time_avg;0.020307369292593296
sepsis_cases_2;single_index;xgboost;-1;4;online_time_std;0.01989647041476086
sepsis_cases_2;single_index;xgboost;-1;5;train_prefix_generation_time;0.33443760871887207
sepsis_cases_2;single_index;xgboost;-1;5;offline_time_total;1.9410722255706787
sepsis_cases_2;single_index;xgboost;-1;5;online_time_avg;0.020291307800778872
sepsis_cases_2;single_index;xgboost;-1;5;online_time_std;0.019810726233248456
sepsis_cases_2;single_index;xgboost;-1;6;train_prefix_generation_time;0.3384401798248291
sepsis_cases_2;single_index;xgboost;-1;6;offline_time_total;1.963054895401001
sepsis_cases_2;single_index;xgboost;-1;6;online_time_avg;0.022441194704393107
sepsis_cases_2;single_index;xgboost;-1;6;online_time_std;0.025862031590901214
sepsis_cases_2;single_index;xgboost;-1;7;train_prefix_generation_time;0.4094507694244385
sepsis_cases_2;single_index;xgboost;-1;7;offline_time_total;3.1746580600738525
sepsis_cases_2;single_index;xgboost;-1;7;online_time_avg;0.024380303432625174
sepsis_cases_2;single_index;xgboost;-1;7;online_time_std;0.024067798186976425
sepsis_cases_2;single_index;xgboost;-1;8;train_prefix_generation_time;0.46135830879211426
sepsis_cases_2;single_index;xgboost;-1;8;offline_time_total;3.2221267223358154
sepsis_cases_2;single_index;xgboost;-1;8;online_time_avg;0.02400763902169336
sepsis_cases_2;single_index;xgboost;-1;8;online_time_std;0.023520658772108932
sepsis_cases_2;single_index;xgboost;-1;9;train_prefix_generation_time;0.4194061756134033
sepsis_cases_2;single_index;xgboost;-1;9;offline_time_total;3.0692901611328125
sepsis_cases_2;single_index;xgboost;-1;9;online_time_avg;0.025102536403872982
sepsis_cases_2;single_index;xgboost;-1;9;online_time_std;0.02475704472249192
sepsis_cases_2;single_index;xgboost;1;-1;auc;0.8230992519816903
sepsis_cases_2;single_index;xgboost;2;-1;auc;0.8493357150831752
sepsis_cases_2;single_index;xgboost;3;-1;auc;0.8493357150831752
sepsis_cases_2;single_index;xgboost;4;-1;auc;0.8493357150831752
sepsis_cases_2;single_index;xgboost;5;-1;auc;0.8520141101502048
sepsis_cases_2;single_index;xgboost;6;-1;auc;0.8472403560830861
sepsis_cases_2;single_index;xgboost;7;-1;auc;0.8440233236151603
sepsis_cases_2;single_index;xgboost;8;-1;auc;0.8401051012560882
sepsis_cases_2;single_index;xgboost;9;-1;auc;0.7334131099587821
sepsis_cases_2;single_index;xgboost;10;-1;auc;0.7113564668769716
sepsis_cases_2;single_index;xgboost;11;-1;auc;0.77286470143613
sepsis_cases_2;single_index;xgboost;12;-1;auc;0.7776033490319205
sepsis_cases_2;single_index;xgboost;13;-1;auc;0.7532188841201717
sepsis_cases_2;single_index;xgboost;-1;-1;auc;0.8329556442410871
sepsis_cases_2;single_index;xgboost;-1;-1;online_time_avg;0.021870559038089266
sepsis_cases_2;single_index;xgboost;-1;-1;online_time_std;0.02202885593739378
sepsis_cases_2;single_index;xgboost;-1;-1;offline_time_total_avg;2.329938793182373
sepsis_cases_2;single_index;xgboost;-1;-1;offline_time_total_std;0.5427948410614273
