dataset;method;cls;nr_events;n_iter;metric;score
synthetic_log_6;single_index;xgboost;-1;-1;test_prefix_generation_time;0.6497890949249268
synthetic_log_6;single_index;xgboost;-1;0;train_prefix_generation_time;0.6597859859466553
synthetic_log_6;single_index;xgboost;-1;0;offline_time_total;5.005378007888794
synthetic_log_6;single_index;xgboost;-1;0;online_time_avg;0.021540496913957617
synthetic_log_6;single_index;xgboost;-1;0;online_time_std;0.02231216757816076
synthetic_log_6;single_index;xgboost;-1;1;train_prefix_generation_time;0.6373310089111328
synthetic_log_6;single_index;xgboost;-1;1;offline_time_total;5.2840187549591064
synthetic_log_6;single_index;xgboost;-1;1;online_time_avg;0.021550777042785633
synthetic_log_6;single_index;xgboost;-1;1;online_time_std;0.02216136078318157
synthetic_log_6;single_index;xgboost;-1;2;train_prefix_generation_time;0.6843278408050537
synthetic_log_6;single_index;xgboost;-1;2;offline_time_total;5.264019727706909
synthetic_log_6;single_index;xgboost;-1;2;online_time_avg;0.021347817593651248
synthetic_log_6;single_index;xgboost;-1;2;online_time_std;0.022209392872655255
synthetic_log_6;single_index;xgboost;-1;3;train_prefix_generation_time;0.6193511486053467
synthetic_log_6;single_index;xgboost;-1;3;offline_time_total;4.916990041732788
synthetic_log_6;single_index;xgboost;-1;3;online_time_avg;0.02054402617654951
synthetic_log_6;single_index;xgboost;-1;3;online_time_std;0.021072469273089464
synthetic_log_6;single_index;xgboost;-1;4;train_prefix_generation_time;0.6243579387664795
synthetic_log_6;single_index;xgboost;-1;4;offline_time_total;4.849035024642944
synthetic_log_6;single_index;xgboost;-1;4;online_time_avg;0.020422683061377418
synthetic_log_6;single_index;xgboost;-1;4;online_time_std;0.020963539987976215
synthetic_log_6;single_index;xgboost;-1;5;train_prefix_generation_time;0.6028048992156982
synthetic_log_6;single_index;xgboost;-1;5;offline_time_total;4.665488243103027
synthetic_log_6;single_index;xgboost;-1;5;online_time_avg;0.02024138376331728
synthetic_log_6;single_index;xgboost;-1;5;online_time_std;0.020785362507550732
synthetic_log_6;single_index;xgboost;-1;6;train_prefix_generation_time;0.6477906703948975
synthetic_log_6;single_index;xgboost;-1;6;offline_time_total;5.1263391971588135
synthetic_log_6;single_index;xgboost;-1;6;online_time_avg;0.0217288793319472
synthetic_log_6;single_index;xgboost;-1;6;online_time_std;0.022432586525457536
synthetic_log_6;single_index;xgboost;-1;7;train_prefix_generation_time;0.6413135528564453
synthetic_log_6;single_index;xgboost;-1;7;offline_time_total;5.254042863845825
synthetic_log_6;single_index;xgboost;-1;7;online_time_avg;0.020974959351808008
synthetic_log_6;single_index;xgboost;-1;7;online_time_std;0.02176040350276572
synthetic_log_6;single_index;xgboost;-1;8;train_prefix_generation_time;0.6088030338287354
synthetic_log_6;single_index;xgboost;-1;8;offline_time_total;4.657490253448486
synthetic_log_6;single_index;xgboost;-1;8;online_time_avg;0.020174878930971554
synthetic_log_6;single_index;xgboost;-1;8;online_time_std;0.020778075615862594
synthetic_log_6;single_index;xgboost;-1;9;train_prefix_generation_time;0.605804443359375
synthetic_log_6;single_index;xgboost;-1;9;offline_time_total;4.758458614349365
synthetic_log_6;single_index;xgboost;-1;9;online_time_avg;0.02016108179677086
synthetic_log_6;single_index;xgboost;-1;9;online_time_std;0.02070027378423894
synthetic_log_6;single_index;xgboost;1;-1;auc;0.9126146641862851
synthetic_log_6;single_index;xgboost;2;-1;auc;0.9293412021297068
synthetic_log_6;single_index;xgboost;3;-1;auc;0.9293412021297068
synthetic_log_6;single_index;xgboost;4;-1;auc;0.9293412021297068
synthetic_log_6;single_index;xgboost;5;-1;auc;0.9293412021297068
synthetic_log_6;single_index;xgboost;6;-1;auc;0.9256656254648222
synthetic_log_6;single_index;xgboost;7;-1;auc;0.9288899269577034
synthetic_log_6;single_index;xgboost;8;-1;auc;0.9278444515636166
synthetic_log_6;single_index;xgboost;9;-1;auc;0.9338763644342055
synthetic_log_6;single_index;xgboost;10;-1;auc;0.9383220533776018
synthetic_log_6;single_index;xgboost;11;-1;auc;0.9384885135618694
synthetic_log_6;single_index;xgboost;12;-1;auc;0.9338214587440158
synthetic_log_6;single_index;xgboost;13;-1;auc;0.9320197044334976
synthetic_log_6;single_index;xgboost;14;-1;auc;0.9301295983256862
synthetic_log_6;single_index;xgboost;15;-1;auc;0.9229357798165138
synthetic_log_6;single_index;xgboost;16;-1;auc;0.9395046046363925
synthetic_log_6;single_index;xgboost;17;-1;auc;0.9477477477477477
synthetic_log_6;single_index;xgboost;18;-1;auc;0.9428571428571428
synthetic_log_6;single_index;xgboost;-1;-1;auc;0.9297343868035569
synthetic_log_6;single_index;xgboost;-1;-1;online_time_avg;0.020868698396313633
synthetic_log_6;single_index;xgboost;-1;-1;online_time_std;0.021536734349817944
synthetic_log_6;single_index;xgboost;-1;-1;offline_time_total_avg;4.978126072883606
synthetic_log_6;single_index;xgboost;-1;-1;offline_time_total_std;0.23309891359973836
